Ticker,Company,Sector,Industry,Country,Market Cap,Price,Change (%),Volume,Price to Earnings Ratio,Price to Earnings,Forward Price to Earnings,Price/Earnings to Growth,Price to Sales,Price to Book,Price to Cash,Price to Free Cash Flow,Earnings Per Share This Year (%),Earnings Per Share Next Year (%),Earnings Per Share Past 5 Years (%),Earnings Per Share Next 5 Years (%),Sales Past 5 Years (%),Dividend (%),Return on Assets (%),Return on Equity (%),Return on Investment (%),Current Ratio,Quick Ratio,Long-Term Debt to Equity,Debt to Equity,Gross Margin (%),Operating Margin (%),Profit Margin,Outstanding Shares,Float,Insider Ownership (%),Insider Transactions (%),Institutional Ownership (%),Float Short (%),Short Ratio,Average Volume,Performance (Week) (%),Performance (Month) (%),Performance (Quarter) (%),Performance (Half Year) (%),Performance (Year) (%),Performance (Year to Date) (%),Volatility (Week) (%),Volatility (Month) (%),Analyst Recommendation,Relative Volume,Beta,Average True Range,Simple Moving Average (20) (%),Simple Moving Average (50) (%),Simple Moving Average (200) (%),Yearly High (%),Yearly Low (%),Relative Strength Index,Change from Open (%),Gap (%),Volume2
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA,37840000000,129.45,1.81,367712,30.83,30.82,21.33,4,5.53,6.46,23.8,25.68,0.57,10.8,33.93,7.7,7,0.73,11.65,22.24,14.45,2.61,1.97,0.47,0.47,57.94,23.85,18.15%,292120000,291330000,0.43,-0.05,-3.26,1.97,2.69,2130000,0.07,19.7,14.36,8.8,-17.48,-13.82,1.86,1.95,2.21,0.89,1.12,2.74,6.04,13.36,4.89,-19.53,33.23,69.7,1.06,0.33,367712
AA,Alcoa Corp,Basic Materials,Aluminum,USA,4450000000,24.99,-0.4,1171185,-,-,34.33,-,0.41,0.99,4.18,-,-152.89,128.41,,12.3,3.4,1.34,-6.08,-17.71,-13.85,1.66,0.83,0.4,0.4,1.76,-0.65,-8.09%,176970000,176720000,0.97,,-5.68,6.69,2.14,5520000,-7.01,1.42,-11.6,-28.75,-47.27,-45.17,3.9,3.38,2.92,0.78,2.43,1,-4.23,-4.21,-25.24,-56.73,8.06,42.06,0.73,-1.08,1171185
AAA,AXS First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,25.01,0.26,114,-,-,-,-,-,-,-,-,,,,,,6,,,,-,-,-,-,,,-,,,,,,,-,4220,0.6,0.64,0.89,1.94,2.9,2.63,0.22,0.34,-,0.5,0.03,0.09,0.34,0.56,1.28,-0.91,3.67,58.79,0.12,0.12,114
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,19.63,-1.08,862985,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,1530000,-2.27,1.19,3.51,1.08,10.57,8.46,0.74,0.75,-,1.12,0.2,0.21,-1.09,1.18,1.64,-4.57,11.43,45.7,-0.53,-0.6,862985
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,28860000,0.88,9.88,4255,-,-,-,-,0.92,1.97,3.13,-,,,,25,1378.42,,-8.84,-33.96,-35.81,0.22,0.22,0.13,0.29,50.68,-21.46,-18.84%,,8840000,,,-0.7,0.05,0.8,4990,1.25,6,-22.33,-28.49,-40.89,-29.24,10.09,9.22,1,1.43,1.09,0.09,1.54,-7.8,-35.57,-63.81,12.63,48.99,6,4.94,4255
AACI,Armada Acquisition Corp I,Financial,Shell Companies,USA,87400000,10.83,0.19,11,-,-,-,-,-,5.13,1439.15,-,,,,,0,,-0.36,-0.39,-1.9,0.01,0.01,0,0.15,,0,-,8070000,2440000,69.83,,20.19,0.02,0.04,12080,0.65,0.94,3.65,2.18,9.77,6.62,0.21,0.26,-,0.05,0,0.05,0.56,1.01,5.21,-11.56,26.05,57.62,-0.37,0.19,11
AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,650000000,10.4,0,2221,-,-,-,-,-,1.31,288.61,-,,,,,0,,,,,8.96,8.96,0.01,0.01,,,-,62500000,49250000,21.2,,,0,0,117990,0.19,0.68,1.66,,,2.77,0.19,0.17,-,0.02,-,0.02,0.39,0.81,1.53,-0.19,3.02,69.18,0,0,2221
AADI,Aadi Bioscience Inc,Healthcare,Biotechnology,USA,120200000,4.86,-2.02,22395,-,-,-,-,5.18,1.02,1.01,-,5.8,-10.4,29.51,,213.25,,-38,-44.14,-53.22,6.48,6.3,0.01,0.06,91.5,-299.67,-272.66%,24440000,17230000,29.73,-0.03,14.22,4.32,6.65,111790,-4.09,9.33,-17.45,-37.4,-62.92,-61.65,6.92,5.89,1,1.04,1.07,0.3,1.42,8.15,-23.64,-63.61,26.8,52.51,-2.38,1.61,22395
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,54.28,0.42,85,-,-,-,-,-,-,-,-,,,,,,1.46,,,,-,-,-,-,,,-,,,,,,,-,1750,0.56,11.15,7.73,11.04,12.3,13.91,1.18,0.71,-,0.18,1.04,0.68,3.29,8.34,10.14,-0.09,22.04,65.36,0.79,-0.13,85
AAGR,African Agriculture Holdings Inc,Consumer Defensive,Farm Products,USA,6900000,1.27,-43.91,651976,-,-,-,-,-,9.93,305.66,-,,,,,0,,-4.04,-4.81,-294.64,0.01,0.01,0,1.06,,0,-,7390000,3140000,16.82,,,,-,38160,-84.48,-85.49,-85.53,-84.92,-84.66,-84.48,69.61,22.52,-,29.4,-0.18,1.27,-84.04,-84.92,-84.92,-90.34,-50.23,16.97,-34.13,-27.39,651976
AAIC,Arlington Asset Investment Corp,Real Estate,REIT - Mortgage,USA,134240000,4.74,0.21,54305,-,-,-,-,2.78,0.75,15.15,-,,,-32.81,-9.37,84.25,,0.04,0.2,-0.74,-,-,0.41,3.01,98.45,68.7,-4.55%,28190000,27090000,4.36,,-6.38,0.21,0.36,152960,0.64,7.95,3.49,8.7,58.86,62.12,1.79,1.83,2,1.83,1.48,0.09,2.07,7.03,21.84,-1.86,87.75,61.26,0.42,0.21,54305
AAL,American Airlines Group Inc,Industrials,Airlines,USA,8950000000,13.69,-0.51,10363588,6.28,6.29,7.16,-,0.17,-,0.78,4.08,380.41,-20.32,-40.55,,16.28,,2.43,,5.19,0.69,0.58,-,-,23.51,8.93,3.04%,650640000,643710000,1.5,-0.001,1.44,11.43,2.02,36370000,2.77,16.77,-2.76,-14.36,0.88,7.86,2.38,2.78,2.9,0.78,1.55,0.41,9.09,13.22,-4.34,-28.09,26.34,68.85,-0.29,0,10363588
AAMC,Altisource Asset Management Corp,Financial,Mortgage Finance,USA,19040000,6.43,-0.75,117522,-,-,-,-,-,-,0.49,2.66,,,-4.29,,208.55,,-29.44,-53.99,-74.51,-,-,0.02,0.33,82.4,955.16,1391.39%,3030000,2760000,0,,-78.21,1.3,0.43,83440,93.43,104.42,60.82,-85.2,-49.7,-45.6,28.91,12.64,-,2.8,-,0.61,92.03,78.97,-73.57,-89.36,145.45,82.35,-7.03,4.81,117522
AAME,Atlantic American Corp.,Financial,Insurance - Life,USA,38560000,1.89,-1.05,2307,15.45,15.46,-,-,0.21,0.39,-,7.61,,,-22.86,,0.82,1.05,0.92,3.16,1.96,0.76,-,0.4,0.4,,3.76,1.46%,20410000,3890000,80.92,,1.23,0.32,2.81,4380,-2.56,22.75,-0.51,-10.83,-32.97,-19.25,1.69,4.36,-,0.67,0.32,0.09,1.26,2.94,-8.5,-29.2,26.87,51.27,2.73,-3.66,2307
